Excipient_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
5780,182.172,-3.585399999999998,121.38000000000001,6,6,5,0,0,1.0,12,0,0,0,0,0,0,0,0,0,0,0
14797,56.105000000000004,-3.1728,30.0,0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0
84571,342.297,-5.397199999999994,189.52999999999997,8,11,4,0,2,1.0,23,0,0,0,0,0,0,0,3,0,0,0
5359268,26.982,-0.3808,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
24477,158.11100000000002,-6.9985,63.19,0,4,0,0,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0
656671,190.109,-7.6663,97.33,0,5,1,0,0,0.0,9,0,0,0,0,0,0,0,0,0,0,0
5460613,33.075,0.3805,0.0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
342,108.13999999999997,1.7006199999999996,20.23,1,1,0,1,1,0.14285714285714285,8,0,0,0,0,0,0,1,0,0,0,0
6328154,263.198,-3.668699999999998,155.51999999999998,6,7,5,0,0,0.75,17,0,0,0,0,1,0,0,0,0,0,1
516892,84.006,-4.1083,60.36,1,2,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
86278134,1153.0020000000013,-16.27620000000003,585.2800000000003,23,36,19,0,7,1.0,78,0,0,0,0,0,0,0,13,0,0,0
943,62.004000000000005,-0.23910000000000006,66.2,0,3,0,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0
24526,70.906,1.379,0.0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,2,0
71853,1526.4640000000022,-20.532899999999934,808.0000000000003,29,47,26,0,9,0.9821428571428571,104,8,1,0,1,0,0,0,18,0,0,0
104931,407.9350000000002,-0.7130999999999952,78.90000000000002,0,6,7,0,0,0.5263157894736842,27,0,0,3,0,0,0,0,3,0,1,0
5143,183.18799999999996,0.11870000000000008,63.24,1,3,0,1,2,0.0,12,0,1,0,1,0,0,0,0,0,0,0
4764,318.32800000000003,3.5601000000000016,66.76,2,4,2,3,4,0.05,24,0,0,1,0,0,0,2,1,0,0,0
6344,84.933,1.4215,0.0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,0
3776,60.096000000000004,0.38710000000000006,20.23,1,1,0,0,0,1.0,4,0,0,0,0,0,0,0,0,0,0,0
23665634,390.54,2.1012,66.43,0,4,19,0,0,0.8181818181818182,27,0,0,1,0,0,0,0,1,0,0,1
21257725,475.2130000000003,-6.462199999999999,303.08,11,13,14,0,0,0.7142857142857143,32,1,0,0,0,0,0,0,0,0,0,4
