API_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
11304743,422.4240000000002,2.4427000000000003,138.07,2,8,4,4,4,0.15,31,2,0,0,1,0,0,0,1,0,1,0
11363176,460.9830000000001,4.267320000000004,82.36000000000001,2,6,8,2,3,0.30434782608695654,31,0,0,0,1,0,0,0,1,0,1,0
11434065,723.8530000000003,5.106600000000003,208.39999999999998,3,10,15,4,4,0.37142857142857144,51,1,1,1,2,0,0,0,2,0,0,0
11476460,450.3230000000002,1.5126999999999997,152.79,2,8,6,3,4,0.23529411764705882,31,0,0,0,1,0,0,0,1,0,1,0
11511120,469.9480000000003,5.155100000000003,79.38000000000001,2,6,7,3,4,0.2916666666666667,33,0,2,0,1,0,0,0,1,0,2,0
11525740,473.9900000000002,3.560840000000001,119.02999999999999,2,7,5,4,4,0.19047619047619047,32,1,1,0,0,0,0,0,0,0,1,0
11547978,509.3460000000003,5.235220000000004,139.24,2,7,6,4,4,0.13636363636363635,34,0,2,0,2,0,0,0,3,0,2,0
11551689,332.3149999999999,4.587000000000005,12.47,0,2,8,1,2,0.6470588235294118,21,0,0,0,0,0,0,0,1,0,2,0
11561674,460.5080000000002,2.4342000000000006,119.08,1,7,8,2,3,0.3181818181818182,32,0,1,0,3,0,0,0,2,0,0,0
11597697,455.5990000000001,0.19810000000000472,189.87999999999997,5,7,8,1,1,0.5882352941176471,29,2,1,0,1,0,0,0,0,0,0,0
11625818,415.4320000000001,3.7543000000000006,101.38000000000001,2,6,5,5,5,0.13636363636363635,31,0,2,0,0,0,0,0,0,0,1,0
11626560,450.3450000000002,5.037700000000004,77.99,2,5,5,3,4,0.3333333333333333,30,1,1,0,0,0,0,0,1,0,3,0
11644097,199.63400000000001,-2.5449999999999995,92.95,5,5,1,0,1,1.0,12,0,1,0,0,0,0,0,0,0,1,0
11672491,1005.2139999999999,7.21040000000001,204.67999999999998,6,10,19,4,6,0.48148148148148145,72,0,2,0,4,0,0,0,2,0,2,2
11673085,232.15400000000002,3.0110000000000015,12.03,1,1,0,1,2,0.45454545454545453,14,0,1,0,0,0,0,0,0,0,2,0
